rate,W1,W2,AR_nRMSE,AR_Gap,MLR_nRMSE,MLR_Gap
0.3,1,20,35.24,11.44,24.02,10.04
0.3,1,10,36.72,11.81,23.86,9.98
0.3,1,5,37.33,11.72,23.58,9.91
0.3,1,1,45.65,11.02,23.15,9.81
0.3,1,0,73.88,10.95,38.91,10.06
0.4,1,20,35.27,12.65,23.93,10.52
0.4,1,10,36.94,13.19,23.71,10.44
0.4,1,5,37.45,12.92,23.34,10.31
0.4,1,1,46.7,11.61,24.16,9.97
0.4,1,0,69.7,10.66,48.37,10.03
0.5,1,20,36.32,14.55,23.88,11.3
0.5,1,10,36.67,14.58,23.63,11.16
0.5,1,5,37.85,14.39,23.2,10.89
0.5,1,1,44.64,11.79,26.31,10.15
0.5,1,0,67.84,10.69,52.89,10.18
0.6,1,20,36.44,16.17,23.86,12.12
0.6,1,10,36.86,16.13,23.55,11.9
0.6,1,5,36.71,15.14,23.11,11.54
0.6,1,1,48.43,11.29,28.65,10.57
0.6,1,0,68.75,11.11,58.33,10.35
0.7,1,20,36.58,17.65,23.77,12.88
0.7,1,10,36.61,17.83,23.47,12.57
0.7,1,5,36.47,16.21,23.07,12.12
0.7,1,1,48.97,11.94,30.83,10.74
0.7,1,0,70.05,11.18,59.64,10.43
0.8,1,20,36.59,19.26,23.7,13.67
0.8,1,10,37.15,19.43,23.31,13.21
0.8,1,5,37.63,17.53,23.04,12.72
0.8,1,1,55.54,12.08,32.27,10.93
0.8,1,0,72.61,11.56,63.05,10.54
0.9,1,20,36.56,20.9,23.66,14.4
0.9,1,10,37.37,21.09,23.22,13.8
0.9,1,5,39.18,18.3,23.05,13.21
0.9,1,1,55.79,11.83,34.02,11.08
0.9,1,0,72.39,11.83,66.37,10.65
1.0,1,20,36.58,22.51,23.61,15.14
1.0,1,10,36.46,22.08,23.2,14.42
1.0,1,5,39.26,18.42,23.07,13.76
1.0,1,1,55.03,12.19,35.5,11.23
1.0,1,0,76.74,12.4,68.33,10.74
1.2,1,20,36.44,25.46,23.53,16.55
1.2,1,10,36.26,23.59,23.11,15.57
1.2,1,5,39.43,18.81,23.41,14.38
1.2,1,1,61.04,12.91,38.38,11.39
1.2,1,0,80.25,12.7,69.05,10.82
1.5,1,20,36.76,30.61,23.32,18.46
1.5,1,10,37.43,27.87,23.06,17.33
1.5,1,5,43.06,18.62,24.45,14.99
1.5,1,1,63.41,13.96,41.96,11.67
1.5,1,0,85.96,13.18,73.9,11.0
